Trial ID: 17
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
10,600,0,0,0,0,0,0,0,0,0,0,0,0
11,446,0,0,0,0,0,0,0,0,0,0,0,0
12,309,0,0,0,0,0,0,0,0,0,0,0,0
13,209,0,0,0,0,0,0,0,0,0,0,0,0
14,151,0,0,0,0,0,0,0,0,0,0,0,0
15,115,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 7 ANALYSIS ===
--- Digit 7: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 7: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,353,224,130,48,2,0,0,0,0,0,0,0,0
4,683,216,8,0,0,0,0,0,0,0,0,0,0
5,860,49,0,0,0,0,0,0,0,0,0,0,0
6,905,5,0,0,0,0,0,0,0,0,0,0,0
7,835,1,0,0,0,0,0,0,0,0,0,0,0
8,756,1,0,0,0,0,0,0,0,0,0,0,0
9,631,1,0,0,0,0,0,0,0,0,0,0,0
10,462,1,0,0,0,0,0,0,0,0,0,0,0
11,314,1,0,0,0,0,0,0,0,0,0,0,0
12,217,1,0,0,0,0,0,0,0,0,0,0,0
13,150,1,0,0,0,0,0,0,0,0,0,0,0
14,116,0,0,0,0,0,0,0,0,0,0,0,0
15,76,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 8 ANALYSIS ===
--- Digit 8: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 8: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,429,300,130,16,0,0,0,0,0,0,0,0,0
4,837,245,1,0,0,0,0,0,0,0,0,0,0
5,1095,40,0,0,0,0,0,0,0,0,0,0,0
6,1249,3,0,0,0,0,0,0,0,0,0,0,0
7,1245,1,0,0,0,0,0,0,0,0,0,0,0
8,1204,1,0,0,0,0,0,0,0,0,0,0,0
9,1056,0,0,0,0,0,0,0,0,0,0,0,0
10,912,0,0,0,0,0,0,0,0,0,0,0,0
11,709,0,0,0,0,0,0,0,0,0,0,0,0
12,551,0,0,0,0,0,0,0,0,0,0,0,0
13,416,0,0,0,0,0,0,0,0,0,0,0,0
14,334,0,0,0,0,0,0,0,0,0,0,0,0
15,256,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 9 ANALYSIS ===
--- Digit 9: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 9: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,365,242,124,13,3,0,0,0,0,0,0,0,0
4,717,206,0,0,0,0,0,0,0,0,0,0,0
5,927,36,0,0,0,0,0,0,0,0,0,0,0
6,976,4,0,0,0,0,0,0,0,0,0,0,0
7,936,2,0,0,0,0,0,0,0,0,0,0,0
8,837,2,0,0,0,0,0,0,0,0,0,0,0
9,676,2,0,0,0,0,0,0,0,0,0,0,0
10,531,0,0,0,0,0,0,0,0,0,0,0,0
11,388,0,0,0,0,0,0,0,0,0,0,0,0
12,278,0,0,0,0,0,0,0,0,0,0,0,0
13,195,0,0,0,0,0,0,0,0,0,0,0,0
14,145,0,0,0,0,0,0,0,0,0,0,0,0
15,115,0,0,0,0,0,0,0,0,0,0,0,0

########################################

